"laptop","Brother Printer Toner","Belkin Mouse Pad","VGA Monitor Cable","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"desktop","desktop","Apple Wireless Keyboard","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"desktop","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"desktop","desktop"," desktop ","XIBERIA Gaming Headset","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"laptop","desktop","Epson Black Ink","desktop","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"desktop","monitor","desktop","Mackie CR Speakers","Gaming Mouse Professional","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"desktop","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"laptop","Bose Companion Speakers","desktop","laptop","Large Mouse Pad","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Logitech Keyboard","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"desktop","Generic Black 3-Button","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"desktop","laptop","monitor","Apple MacBook Pro","laptop","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"laptop","desktop","desktop","monitor","monitor","desktop","Rii LED Gaming Keyboard & Mouse Combo ","Apple MacBook Pro","JBL Splashproof Portable Bluetooth Speaker","","","","","","","","","","","","","","","","","","","","","","",""
"ASUS Chromebook","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"monitor","desktop","Apple Earpods","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HP Wireless Mouse","desktop","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"monitor","desktop","monitor","Backlit LED Gaming Keyboard","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"monitor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Logitech Wireless Mouse","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"laptop","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"desktop","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"laptop","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Alienware Laptop","3-Button Mouse","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"desktop","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"desktop"," desktop ","Dell Wired Keyboard","Zombie Gaming Headset","Backlit LED Gaming Keyboard","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"desktop","monitor","laptop","Logitech Keyboard","desktop","Rii LED Gaming Keyboard & Mouse Combo ","Fire TV Stick","Slim Wireless Mouse","Wireless Portable Mouse","iPad","1TB Portable External Hard Drive","","","","","","","","","","","","","","","","","","","","",""
"Apple MacBook Pro","laptop","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"desktop","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"monitor","desktop","Apple Earpods","laptop","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"laptop","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Logitech 3-button Mouse","Apple Earpods","monitor","laptop","Backlit LED Gaming Keyboard","Microsoft Wireless Desktop Keyboard and Mouse","","","","","","","","","","","","","","","","","","","","","","","","","",""
"desktop","Slim 2TB Portable External Hard Drive","Apple MacBook Pro","desktop","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eluktronics Pro Gaming Laptop","laptop","desktop","laptop","Apple MacBook Pro","Brother Printer","iPad Pro ","","","","","","","","","","","","","","","","","","","","","","","","",""
"monitor","laptop","desktop","Slim 2TB Portable External Hard Drive","desktop","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"monitor","desktop","laptop","desktop","Apple Magic Keyboard","Microsoft Office Home and Student 2016","Apple Earpods","Gaming Mouse Professional","","","","","","","","","","","","","","","","","","","","","","","",""
"ASUS Chromebook","Logitech MK270 Wireless Keyboard and Mouse Combo","Zombie Gaming Headset","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3-Button Mouse","Apple Earpods","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"monitor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"laptop","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"monitor","laptop","desktop","HP Wireless Printer","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"laptop","3TB Portable External Hard Drive","Backlit LED Gaming Keyboard","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"monitor","desktop","Apple Earpods","laptop","desktop","Microsoft Wireless Desktop Keyboard and Mouse","","","","","","","","","","","","","","","","","","","","","","","","","",""
"desktop","monitor","desktop","desktop","Microsoft Office Home and Student 2016","Logitech 3-button Mouse","3-Button Mouse","desktop","Generic Black 3-Button","Apple Wireless Keyboard","Apple Earpods","Wireless Portable Mouse","iPad","","","","","","","","","","","","","","","","","","",""
"desktop","desktop","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"laptop","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Alienware Laptop","desktop"," desktop ","Apple Wired Keyboard","desktop","Apple MacBook Pro","Apple Earpods","Backlit LED Gaming Keyboard","","","","","","","","","","","","","","","","","","","","","","","",""
"Apple Wireless Keyboard","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3-Button Mouse","Apple MacBook Pro","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
